OrderID,RejectionReason
ORDER_10,REJECTED - INVLALID LOT SIZE
ORDER_1430,REJECTED - POSITION CHECK FAILED
ORDER_1860,REJECTED - POSITION CHECK FAILED
ORDER_20,REJECTED - INVLALID LOT SIZE
ORDER_30,REJECTED - INVLALID LOT SIZE
ORDER_40,REJECTED - INVLALID LOT SIZE
ORDER_4430,REJECTED - POSITION CHECK FAILED
ORDER_50,REJECTED - INVLALID LOT SIZE
ORDER_5430,REJECTED - POSITION CHECK FAILED
ORDER_5860,REJECTED - POSITION CHECK FAILED
ORDER_60,REJECTED - INVLALID LOT SIZE
ORDER_6430,REJECTED - POSITION CHECK FAILED
ORDER_6860,REJECTED - POSITION CHECK FAILED
ORDER_70,REJECTED - INVLALID LOT SIZE
ORDER_7430,REJECTED - POSITION CHECK FAILED
ORDER_80,REJECTED - INVLALID LOT SIZE
ORDER_90,REJECTED - INVLALID LOT SIZE
ORDER_9430,REJECTED - POSITION CHECK FAILED
ORDER_9860,REJECTED - POSITION CHECK FAILED
ORDER_100,REJECTED - INVLALID LOT SIZE
ORDER_2861,REJECTED - POSITION CHECK FAILED
ORDER_4431,REJECTED - POSITION CHECK FAILED
ORDER_4861,REJECTED - POSITION CHECK FAILED
ORDER_6431,REJECTED - POSITION CHECK FAILED
ORDER_7431,REJECTED - POSITION CHECK FAILED
ORDER_9861,REJECTED - POSITION CHECK FAILED
ORDER_2862,REJECTED - POSITION CHECK FAILED
ORDER_3862,REJECTED - POSITION CHECK FAILED
ORDER_5432,REJECTED - POSITION CHECK FAILED
ORDER_6862,REJECTED - POSITION CHECK FAILED
ORDER_7432,REJECTED - POSITION CHECK FAILED
ORDER_8862,REJECTED - POSITION CHECK FAILED
ORDER_9862,REJECTED - POSITION CHECK FAILED
ORDER_10862,REJECTED - POSITION CHECK FAILED
ORDER_1863,REJECTED - POSITION CHECK FAILED
ORDER_3863,REJECTED - POSITION CHECK FAILED
ORDER_53,REJECTED - POSITION CHECK FAILED
ORDER_5863,REJECTED - POSITION CHECK FAILED
ORDER_63,REJECTED - POSITION CHECK FAILED
ORDER_6863,REJECTED - POSITION CHECK FAILED
